groupName,level,members
MUSICAL INSTRUMENTS,2,"FLUTE, DRUM, HARP, BELL"
FAMOUS BRANDS,3,"APPLE, AMAZON, NIKE, DISNEY"
US STATES,0,"TEXAS, ALASKA, FLORIDA, OHIO"
TYPES OF LIQUID,1,"WATER, JUICE, OIL, MILK"
MATHEMATICAL TERMS,2,"ANGLE, RADIUS, VOLUME, LENGTH"
FAMOUS AUTHORS,3,"ORWELL, HEMINGWAY, AUSTEN, DICKENS"
FACIAL FEATURES,0,"CHEEK, EYE, MOUTH, NOSE"
SNEAKER BRANDS,0,"ADIDAS, NIKE, PUMA, REEBOK"
SYNONYMS FOR EAT,1,"CHOW, GOBBLE, SCARF, WOLF"
"MUSICALS BEGINNING WITH ""C""",1,"CABARET, CAROUSEL, CATS, CHICAGO"
COUNTRIES,0,"FRANCE, BRAZIL, CHINA, CANADA"
COFFEE TYPES,1,"ESPRESSO, LATTE, AMERICANO, CAPPUCINO"
ZODIAC SIGNS,2,"ARIES, LEO, CANCER, CAPRICORN"
FAMOUS PAINTERS,3,"MONET, PICASSO, DAVINCI, VANGOGH"
SPORTS,0,"BASEBALL, TENNIS, BASKETBALL, SOCCER"
CHESS PIECES,1,"KING, QUEEN, BISHOP, KNIGHT"
MUSIC INSTRUMENTS,2,"GUITAR, PIANO, DRUM, FLUTE"
VIDEO GAME TITLES,3,"HALO, ZELDA, PACMAN, TETRIS"
COUNTRIES IN ASIA,0,"CHINA, JAPAN, INDIA, THAILAND"
FAMOUS SCI-FI MOVIES,1,"ALIEN, BLADE, MATRIX, INCEPTION"
TYPES OF FLOWERS,2,"ROSE, TULIP, DAISY, LILY"
CAPITAL CITIES,3,"LONDON, PARIS, ROME, BERLIN"
EUROPEAN CITIES,0,"LONDON, PARIS, ROME, BERLIN"
FAMOUS BRANDS,1,"APPLE, NIKE, GUCCI, TESLA"
PLANETS IN OUR SOLAR SYSTEM,2,"MARS, VENUS, EARTH, JUPITER"
WORLD LEADERS,3,"PUTIN, MACRON, BIDEN, MERKEL"
CHEMICAL ELEMENTS,0,"HYDROGEN, OXYGEN, IRON, SILICON"
FAMOUS AUTHORS,1,"ORWELL, DICKENS, HEMINGWAY, SHAKESPEARE"
MUSIC GENRES,2,"ROCK, JAZZ, POP, CLASSICAL"
FAMOUS PAINTERS,3,"VANGOGH, PICASSO, REMBRANDT, MONET"
FAMOUS DIRECTORS,0,"TARANTINO, SPIELBERG, HITCHCOCK, KUBRICK"
RIVER SYSTEMS,1,"AMAZON, NILE, YANGTZE, MISSISSIPPI"
CLASSICAL COMPOSERS,2,"MOZART, BACH, BEETHOVEN, VIVALDI"
TECHNOLOGICAL INNOVATIONS,3,"INTERNET, SMARTPHONE, ROBOTICS, AI"
EPIC POEMS,0,"ILIAD, ODYSSEY, BEOWULF, AENEID"
ART MOVEMENTS,1,"IMPRESSIONISM, CUBISM, SURREALISM, BAROQUE"
LINGUISTIC CONCEPTS,2,"MORPHEME, SYNTAX, PHONEME, SEMANTICS"
INVENTORS AND SCIENTISTS,3,"TESLA, EINSTEIN, CURIE, NEWTON"
POETIC FORMS,0,"SONNET, HAIKU, EPIC, LIMERICK"
RENEWABLE ENERGY SOURCES,1,"SOLAR, WIND, HYDRO, GEOTHERMAL"
ANCIENT CITIES,2,"PETRA, MACHU PICCHU, POMPEII, TROY"
OBSCURE MUSICAL INSTRUMENTS,3,"HURDY-GURDY, THEREMIN, ZITHER, SHENG"
STREAMING SERVICES,0,"HULU, NETFLIX, PEACOCK, PRIME"
MONOPOLY SQUARES,0,"BOARDWALK, CHANCE, GO, JAIL"
LEG PARTS,0,"ANKLE, KNEE, SHIN, THIGH"
SPORTS,0,"CRICKET, FENCING, POLO, SQUASH"
BOARD GAMES,0,"BACKGAMMON, CHECKERS, CHESS, GO"
FRUIT,0,"DATE, KIWI, LEMON, ORANGE"
"SPICES BEGINNING WITH ""C""",0,"CARDAMOM, CLOVE, CORIANDER, CUMIN"
ANIMAL GROUP NAMES,0,"FLOCK, PACK, POD, SCHOOL"
"DOG BREEDS, INFORMALLY",2,"LAB, PEKE, PIT, POM"
CLEANING VERBS,2,"DUST, MOP, SWEEP, VACUUM"
MEMBERS OF A TRIO,3,"AMIGO, KING, STOOGE, TENOR"
___ MAN SUPERHEROES,3,"BAT, IRON, SPIDER, SUPER"
CONDIMENTS,1,"KETCHUP, MAYO, RELISH, TARTAR"
SHADES OF BLUE,1,"BABY, MIDNIGHT, POWDER, ROYAL"
SYNONYMS FOR SAD,2,"BLUE, DOWN, GLUM, LOW"
RAPPERS,2,"COMMON, FUTURE, ICE CUBE, Q-TIP"
SLANG FOR TOILET,2,"CAN, HEAD, JOHN, THRONE"
THINGS THAT ARE RED,2,"CHERRY, FIRE TRUCK, RUBY, STOP SIGN"
VEGETABLES,2,"BEET, CARROT, CORN, ONION"
BIRDS,2,"CRANE, JAY, SWALLOW, TURKEY"
BABY ANIMALS,1,"CALF, CUB, JOEY, KID"
MATTRESS SIZES,1,"FULL, KING, QUEEN, TWIN"
THINGS WITH WINGS,2,"AIRPLANE, ANGEL, BIRD, PEGASUS"
SLOW ANIMALS,2,"LORIS, SLOTH, SNAIL, TORTOISE"
AIRLINES,0,"FRONTIER, SPIRIT, UNITED, VIRGIN"
BEDS,0,"BUNK, CANOPY, MURPHY, TRUNDLE"
TOPS,1,"CAMI, HALTER, TANK, TEE"
COUNTRIES,1,"CHAD, GEORGIA, JORDAN, TOGO"
"SILENT ""G""",2,"GNAT, GNAW, GNOCCHI, GNOME"
HONDAS,2,"ACCORD, CIVIC, PASSPORT, PILOT"
FISHING GEAR,2,"LURE, REEL, ROD, TACKLE"
SHADES OF GREEN,2,"EMERALD, FOREST, KELLY, OLIVE"
BIRD SOUNDS,0,"CAW, CHIRP, CLUCK, TWEET"
COFFEE DRINKS,0,"AMERICANO, CAPPUCCINO, ESPRESSO, LATTE"
TERMS OF ENDEARMENT,1,"BOO, HONEY, SUGAR, SWEETIE"
DEADLY SINS,1,"ENVY, GREED, LUST, PRIDE"
CLUE CHARACTERS,3,"GREEN, MUSTARD, PLUM, SCARLET"
MEMBERS OF A SEPTET,3,"SEA, SIN, SISTER, WONDER"
___ FISH THAT AREN'T FISH,3,"CRAY, JELLY, SILVER, STAR"
THINGS WITH KEYS,3,"CRYPTOGRAPHY, FLORIDA, LOCKSMITH, PIANO"
INSECTS,3,"ANT, BEETLE, MANTIS, TERMITE"
ZODIAC SYMBOLS,3,"FISH, GOAT, SCALES, TWINS"
SPICE GIRLS,3,"BABY, GINGER, POSH, SCARY"
TRIG FUNCTIONS,3,"COT, SEC, SIN, TAN"
GREEK LETTERS,1,"BETA, CHI, DELTA, IOTA"
FAMOUS BROTHERS,1,"JONAS, MARX, WARNER, WRIGHT"
DETERGENTS,2,"ALL, ERA, GAIN, TIDE"
TITLE TV DOCTORS,2,"GREY, HOUSE, HOWSER, QUINN"
NECKWEAR,0,"ASCOT, BOLO, SCARF, TIE"
COLORS,1,"BROWN, PINK, TURQUOISE, VIOLET"
KINDS OF MEAT,2,"BEEF, PORK, POULTRY, VENISON"
HOMOPHONES,3,"GNU, KNEW, NEW, NU"
UNIVERSITIES,2,"BROWN, DUKE, HOWARD, RICE"
"""LITTLE WOMEN"" SISTERS",2,"AMY, BETH, JO, MEG"
VIDEO GAME CHARACTERS,3,"CRASH, LINK, MARIO, SONIC"
FICTIONAL PIRATES,3,"HOOK, JONES, SILVER, SPARROW"
"MUSCLES, INFORMALLY",0,"LAT, PEC, QUAD, TRI"
OFF-WHITE SHADES,0,"CREAM, EGGSHELL, IVORY, VANILLA"
TREE NUTS,1,"ALMOND, CASHEW, PECAN, WALNUT"
SHIP DIRECTIONS,1,"BOW, PORT, STARBOARD, STERN"
GRAINS,0,"BARLEY, OAT, RYE, SPELT"
MUSIC GENRES,0,"JAZZ, POP, PUNK, RAP"
AWARDS,1,"CUP, MEDAL, RIBBON, TROPHY"
ANTI-VAMPIRE,1,"CRUCIFIX, GARLIC, MIRROR, STAKE"
TRAFFIC SIGNS,2,"DETOUR, SLOW, STOP, YIELD"
EAR PARTS,2,"ANVIL, COCHLEA, HAMMER, STIRRUP"
MR. ___,3,"BEAN, CLEAN, FOX, PEANUT"
___ TRIANGLE,3,"ACUTE, BERMUDA, LOVE, RIGHT"
ANIMALS WITH TUSKS,2,"ELEPHANT, HIPPO, NARWHAL, WARTHOG"
TOMS,2,"CRUISE, HOLLAND, PETTY, WAITS"
PARTS OF A BOOK,2,"COVER, JACKET, PAGE, SPINE"
FLIGHTLESS BIRDS,2,"EMU, KIWI, OSTRICH, PENGUIN"
DOG BREEDS,0,"BOXER, DALMATIAN, HUSKY, POODLE"
ROYAL TITLES,1,"BARON, EARL, KING, PRINCE"
FISH,2,"TANG, TETRA, SKATE, SOLE"
NFL PLAYERS,3,"BEAR, BILL, BROWN, COMMANDER"
JOINTS,2,"HIP, KNEE, SHOULDER, WRIST"
"WORDS WITH ""i""",2,"MAC, PAD, PHONE, POD"
FICTIONAL SPIES,2,"BOND, HUNT, RYAN, SMART"
CUTS OF BEEF,2,"FLANK, LOIN, ROUND, SHANK"
WEB BROWSERS,1,"CHROME, EDGE, OPERA, SAFARI"
ANIMAL NOSES,1,"BEAK, MUZZLE, SNOUT, TRUNK"
ROCK PAPER SCISSORS,2,"PAPER, ROCK, SCISSORS, SHOOT"
LUCKY CHARMS MARSHMALLOWS,2,"CLOVER, HORSESHOE, MOON, RAINBOW"
60's BAND MEMBERS,0,"BEACH BOY, BEATLE, BYRD, MONKEE"
CANDY BARS,0,"BOUNTY, CRUNCH, HEATH, MILKY WAY"
DANCE FADS,1,"DOUGIE, MACARENA, MASHED POTATO, TWIST"
VIDEO GAME CONSOLES,1,"DREAMCAST, GENESIS, SWITCH, WII"
DESSERTS,0,"CHEESECAKE, FLAN, MOUSSE, TIRAMISU"
EUROPEAN COUNTRIES,0,"DENMARK, GREECE, POLAND, PORTUGAL"
MILD OATHS,1,"DARN, FUDGE, HECK, SHOOT"
SYNONYMS FOR IMITATE,1,"COPY, ECHO, MIMIC, PARROT"
SLANG FOR MONEY,2,"CHEDDAR, DOUGH, PAPER, STACKS"
SYNONYMS FOR SELL,2,"HAWK, MOVE, PEDDLE, VEND"
BAGEL FLAVORS,2,"EVERYTHING, ONION, PLAIN, POPPY"
UNITS OF MEASURE,2,"HERTZ, MOLE, NEWTON, SECOND"
HATS,0,"BERET, BOWLER, FEDORA, FEZ"
SEVEN DWARFS,0,"BASHFUL, DOC, GRUMPY, HAPPY"
WINGED INSECTS,0,"FLY, GNAT, MOTH, WASP"
VEGETABLES THAT ARE ALSO FRUITS,0,"CUCUMBER, EGGPLANT, PEPPER, TOMATO"
SUNGLASSES,2,"AVIATOR, CAT EYE, WAYFARER, WRAPAROUND"
ISLAND COUNTRIES,2,"CUBA, JAPAN, MALTA, PALAU"
SYNONYMS FOR ARGUMENT,3,"ROW, QUARREL, SPAT, TIFF"
BEST DIRECTOR OSCAR WINNERS,3,"BONG, FORD, LEE, STONE"
SHOE PARTS,0,"HEEL, LACE, SOLE, TONGUE"
ORGANS,1,"HEART, KIDNEY, LIVER, LUNG"
RUN QUICKLY,2,"BOLT, DASH, RACE, SPRINT"
LIL ___ RAPPERS,3,"BABY, JON, KIM, WAYNE"
BOATS,0,"FERRY, JUNK, TUG, YACHT"
PLEASANT SMELLS,0,"AROMA, BOUQUET, FRAGRANCE, SCENT"
U.S. COINS,0,"DIME, NICKEL, PENNY, QUARTER"
MARSUPIALS,0,"KANGAROO, KOALA, WALLABY, WOMBAT"
FILE EXTENSIONS,1,"GIF, PDF, TIFF, ZIP"
ARITHMETIC OPERATIONS,1,"ADD, DIVIDE, MULTIPLY, SUBTRACT"
MARINE BIRDS,2,"BOOBY, GULL, PELICAN, PUFFIN"
DEFEAT BADLY,2,"CRUSH, ROUT, SHELLAC, TRASH"
PASTA SHAPES,1,"BOWTIE, ELBOW, SHELL, SPIRAL"
3-D SHAPES,1,"CONE, CUBE, PYRAMID, SPHERE"
SANDWICHES,1,"CLUB, CUBAN, MELT, SUB"
METAL ELEMENTS,1,"IRON, LEAD, TIN, ZINC"
MARINE MAMMALS,0,"DOLPHIN, MANATEE, OTTER, SEAL"
TREES,0,"ASH, CEDAR, MAPLE, PINE"
TIMEKEEPING DEVICES,0,"CLOCK, HOURGLASS, SUNDIAL, WATCH"
WOODWINDS,0,"BASSOON, CLARINET, FLUTE, OBOE"
BOTTLED WATER BRANDS,0,"DASANI, EVIAN, FIJI, VOSS"
SCUBA GEAR,0,"FINS, MASK, SNORKEL, TANK"
SYNONYMS FOR ANGRY,0,"FURIOUS, INCENSED, IRATE, LIVID"
STATES OF MATTER,0,"GAS, LIQUID, PLASMA, SOLID"
CHOCOLATE BARS,1,"CHUNKY, CRUNCH, MARS, MOUNDS"
BIKE PARTS,1,"BRAKE, CHAIN, SADDLE, SPOKE"
FAST FOOD CHAINS,2,"CHECKERS, OUTBACK, SONIC, SUBWAY"
STORMS,2,"BLIZZARD, CYCLONE, SQUALL, TORNADO"
LAND FORMATIONS,1,"HILL, MOUNTAIN, PLATEAU, VALLEY"
HAIRSTYLES,1,"BOB, CROP, PIXIE, SHAG"
COVERINGS,1,"CAP, COVER, LID, TOP"
SLANG FOR COFFEE,1,"BREW, JAVA, JOE, MUD"
YOGA POSES,2,"COBRA, LOTUS, TREE, WARRIOR"
SYNONYMS FOR BOTHER,2,"NEEDLE, POKE, RIB, TEASE"
SOUND ___,3,"ASLEEP, BARRIER, BITE, WAVE"
THINGS WITH LINKS,3,"CHAIN, GOLF COURSE, SAUSAGE, WEBSITE"
PUNCTUATION MARKS,1,"COLON, COMMA, HYPHEN, PERIOD"
THINGS THAT ARE YELLOW,1,"BANANA, CANARY, SCHOOL BUS, SUNFLOWER"
EDIT MENU COMMANDS,1,"COPY, CUT, PASTE, UNDO"
NBA PLAYERS,1,"KING, MAGIC, SUN, THUNDER"
BAND NAMES MINUS NUMBERS,3,"BLINK, MAROON, SUM, U"
MUSTACHES,3,"HANDLEBAR, HORSESHOE, PENCIL, WALRUS"
WORDS SPELLED WITH ROMAN NUMERALS,3,"DILL, LIVID, MILD, MIX"
JACK ___,3,"ASS, KNIFE, POT, RABBIT"
TROPICAL FRUITS,3,"BANANA, COCONUT, MANGO, PINEAPPLE"
___ CAT,3,"ALLEY, COOL, COPY, LAP"
"MOVIES WITH ""!""",3,"AIRPLANE, MOTHER, OKLAHOMA, THEM"
WORDS WITH TWO PRONUNCIATIONS,3,"JOB, LIMA, MOBILE, POLISH"
MODES OF TRANSPORTATION,0,"BOAT, CAR, PLANE, TRAIN"
MOVIE TITLE CITIES,0,"CHICAGO, MUNICH, PHILADELPHIA, RIO"
BIOMES,0,"DESERT, FOREST, GRASSLAND, TUNDRA"
FABRICS,0,"CORDUROY, DENIM, LINEN, TWEED"
RELATIVES,0,"AUNT, COUSIN, MOTHER, NEPHEW"
LONG SANDWICHES,0,"HERO, HOAGIE, GRINDER, SUB"
COMPUTER EQUIPMENT,0,"KEYBOARD, MONITOR, MOUSE, SPEAKER"
PLACES FOR WORSHIP,0,"ALTAR, RELIQUARY, SHRINE, TEMPLE"
FASHION MAGAZINES,1,"ALLURE, ELLE, GLAMOUR, W"
LIZARDS,1,"CHAMELEON, GECKO, IGUANA, MONITOR"
APPARITIONS,1,"GHOST, PHANTOM, SPECTER, SPIRIT"
SYNONYMS FOR OFFBEAT,1,"DAFFY, KOOKY, QUIRKY, WACKY"
DISNEY DUCKS,2,"DAISY, DEWEY, DONALD, SCROOGE"
DEEP-FRIED FOOD,2,"FALAFEL, KATSU, SAMOSA, SCHNITZEL"
RUBBER ___,3,"BAND, CEMENT, DUCKIE, SOUL"
NICKNAMES THAT ARE VERBS,3,"CHUCK, JOSH, ROB, SUE"
CLASSIC TOYS,0,"BLOCKS, DOLL, TOP, YO-YO"
CLASSIC ARCADE GAMES,0,"ASTEROIDS, BREAKOUT, FROGGER, PONG"
TYPES OF PAINT,1,"ACRYLIC, OIL, TEMPERA, WATERCOLOR"
DATING APPS,1,"BUMBLE, HINGE, MATCH, TINDER"
MALE ANIMALS,3,"BOAR, BUCK, BULL, JACK"
___ AND ___,3,"AGAIN, HALF, NECK, SO"
NAKED ___,3,"EYE, GUN, MOLE RAT, TRUTH"
"COUNTRIES WHEN ""A"" IS ADDED",3,"CHIN, CUB, MALT, TONG"
RODENTS,1,"GERBIL, HAMSTER, RAT, VOLE"
STONED,1,"BAKED, BLAZED, HIGH, LIT"
CARTOON CATS,1,"FELIX, GARFIELD, SYLVESTER, TOM"
WORDS WITH THREE G'S,1,"BAGGAGE, EGGNOG, GIGGLE, LEGGINGS"
VAMPIRE MOVIES,2,"BLADE, LOST BOYS, NEAR DARK, TWILIGHT"
MUSICAL INSTRUMENTS,2,"HARP, HORN, ORGAN, TRIANGLE"
AP CLASSES,2,"BIO, CHEM, GOV, STATS"
PRESIDENTIAL FIRST NAMES,2,"CALVIN, CHESTER, GROVER, HARRY"
MOVIE GENRES,0,"HORROR, MUSICAL, ROMANCE, WESTERN"
ARACHNIDS,0,"MITE, SCORPION, SPIDER, TICK"
DANCES,1,"HUSTLE, SALSA, SWING, TANGO"
PATTERNS,1,"HOUNDSTOOTH, PAISLEY, PLAID, STRIPES"
UNSPECIFIED QUANTITIES,0,"FEW, HANDFUL, SEVERAL, SOME"
CELESTIAL OBJECTS,1,"ASTEROID, COMET, MOON, PLANET"
SHAKESPEARE CHARACTERS,2,"DUNCAN, JULIET, PUCK, VIOLA"
STREETS ON SCREEN,3,"ELM, FEAR, JUMP, SESAME"
SPORTS VENUES,1,"COURT, DIAMOND, FIELD, RINK"
TALENT,1,"FACULTY, FLAIR, GENIUS, GIFT"
MUSICAL NOTES,1,"DO, FA, LA, TI"
SLANG FOR ZERO,1,"JACK, NADA, NOTHING, SQUAT"
DR. ___,3,"EVIL, J, NO, PEPPER"
SEALS,3,"HARBOR, HARP, HOODED, MONK"
CEREAL MASCOTS,3,"LUCKY, POP, SAM, TONY"
___ BOYS,3,"BEACH, BEASTIE, HARDY, LOST"
PERCEIVE,1,"CATCH, NOTICE, OBSERVE, SEE"
ENERGY,1,"JUICE, SPIRIT, STEAM, VIGOR"
BREAKFAST FOODS,1,"CEREAL, OMELET, PANCAKE, WAFFLE"
OCCUPATIONAL SURNAMES,1,"FISHER, MASON, MILLER, SMITH"
EXTREMELY,1,"AWFUL, QUITE, SUPER, VERY"
COOKWEAR,1,"CROCK, POT, SKILLET, WOK"
INSULT,1,"BARB, DIG, DISS, JAB"
SODA BRANDS,1,"CRUSH, MUG, SPRITE, SQUIRT"
TOUCHSCREEN GESTURES,2,"PINCH, SPREAD, SWIPE, TAP"
SYNONYMS FOR FALSEHOOD,2,"FIB, FICTION, LIE, TALE"
ANAGRAMS,3,"LEAST, SLATE, STALE, TESLA"
BAND NAMES MINUS COLORS,3,"DAY, FLOYD, SABBATH, STRIPES"
SANTA'S REINDEER,1,"COMET, CUPID, DASHER, VIXEN"
FAILURES,1,"BUSTS, FLOPS, MISSES, TURKEYS"
"""PINOCCHIO"" FIGURES",1,"CRICKET, PUPPET, WHALE, WOODCARVER"
NEWSPAPER SECTIONS,1,"BUSINESS, NATIONAL, OPINION, STYLE"
SUPERHEROES,2,"BLACK WIDOW, BLADE, FLASH, STORM"
NEWSPAPERS,2,"GLOBE, JOURNAL, POST, SUN"
COCKTAILS,3,"COSMOPOLITAN, HURRICANE, MANHATTAN, SCREWDRIVER"
DANCES WHEN DOUBLED,3,"CAN, CHA, GO, NAE"
GOLF TERMS,1,"DRIVER, EAGLE, HOLE, STROKE"
SCAM,1,"CON, FAST ONE, HUSTLE, RACKET"
