groupName,level,members
ASSOCIATED PRINCIPLES IN CHINESE PHILOSOPHY,3,"EXPANSIVE, LIGHT, MASCULINE, YANG"
GOOD THINGS TO GET AT WORK,0,"BONUS, EQUITY, PROMOTION, RAISE"
DISREGARD,1,"DISCOUNT, FORGET, IGNORE, OVERLOOK"
KINDS OF CRACKERS,2,"ANIMAL, CLUB, GOLDFISH, RITZ"
FEATURED IN “ELOISE”,3,"ELOISE, PLAZA, PUG, TURTLE"
NOT WORKING RELIABLY,0,"BUGGY, ERRATIC, GLITCHY, SPOTTY"
CAR PARTS,1,"BUMPER, GRILLE, MIRROR, RIM"
WHAT A SITTER MIGHT SIT,2,"BABY, HOUSE, PET, PLANT"
___ BAND,3,"BOY, RUBBER, TRIBUTE, WEDDING"
APPRECIATION,0,"CREDIT, PRAISE, RECOGNITION, THANKS"
FRAUDSTER,1,"CHEAT, CON, FAKE, QUACK"
EAT VORACIOUSLY,2,"BOLT, DOWN, GOBBLE, SCARF"
___ TUESDAY,3,"FAT, GIVING, SUPER, TACO"
UNDERTAKING,0,"ENDEAVOR, ENTERPRISE, PROJECT, VENTURE"
UNITS,1,"HERTZ, MOLE, SECOND, VOLT"
M.L.B. TEAM MEMBER,2,"NATIONAL, RAY, TIGER, TWIN"
FIRST WORDS OF HBO SHOWS,3,"BOARDWALK, CURB, GAME, SILICON"
DANCE STYLES,0,"JAZZ, MODERN, SWING, TAP"
STEAL,1,"LIFT, PALM, POCKET, SWIPE"
PERFORM WELL ON,2,"ACE, CRUSH, NAIL, ROCK"
___BALL PITCHES,3,"CURVE, FAST, KNUCKLE, SCREW"
SANCTUARY,0,"HAVEN, PORT, RETREAT, SHELTER"
FOOTBALL GEAR,1,"CLEATS, HELMET, JERSEY, PADS"
CANDY NAMES,2,"CHARMS, KINDER, WONKA, YORK"
“FREE ___”,3,"BIRD, FALLIN’, SOLO, WILLY"
ANNOUNCE,0,"BROADCAST, DECLARE, HERALD, TRUMPET"
THINGS INVOLVING MALLETS,1,"CARPENTRY, CROQUET, WHAC-A-MOLE, XYLOPHONE"
ICON EMBROIDERED ON A POLO SHIRT,2,"CROCODILE, LAUREL, POLO PLAYER, SWOOSH"
___ CLIP,3,"ALLIGATOR, HAIR, PAPER, VIDEO"
SOPRANOS,0,"CARMELA, JUNIOR, MEADOW, TONY"
FAMILIAL NICKNAMES,1,"CUZ, GRAMMY, MUMMY, POP"
“SESAME STREET” CHARACTERS,2,"COOKIE, COUNT, OSCAR, SNUFFY"
NAMES THAT SOUND LIKE TWO LETTERS,3,"CECE, EDIE, EMMY, KATIE"
STEER,0,"DIRECT, GUIDE, LEAD, SHEPHERD"
THINGS WITH NEEDLE/S,1,"COMPASS, PINE TREE, SEWING KIT, TURNTABLE"
FIGURES IN GREEK MYTH,2,"ATLAS, ECHO, HELEN, PAN"
STARTING WITH SYNONYMS FOR LAVATORY,3,"CANDLE, LOOFAH, JOHNSON, TOILETRIES"
APTITUDE,0,"FLAIR, GIFT, INSTINCT, NOSE"
EXTERIOR,1,"FACE, FRONT, OUTSIDE, SURFACE"
TECH COMPANIES,2,"AMAZON, APPLE, INTUIT, ORACLE"
___STONE,3,"BRIM, LIME, RHINE, YELLOW"
BAFFLE,0,"PERPLEX, PUZZLE, STUMP, VEX"
CURSE,1,"HEX, JINX, POX, SPELL"
"“TOY STORY” CHARACTERS, FAMILIARLY",2,"BUZZ, HAMM, REX, SLINKY"
COLLOQUIAL SUFFIXES,3,"CORE, GATE, MANIA, PILLED"
THINK OF TOGETHER,0,"AFFILIATE, ASSOCIATE, EQUATE, RELATE"
WAYS TO ATTRACT FISH,1,"BAIT, CHUM, FLY, LURE"
W.N.B.A. TEAMS,2,"LIBERTY, STORM, SUN, WINGS"
LONG___,3,"BOW, FELLOW, HORN, LEGS"
PUNCH,0,"BELT, BLOW, SOCK, SLUG"
CRAM,1,"SANDWICH, SHOEHORN, SQUEEZE, WEDGE"
COMPANIES NAMED AFTER ANIMALS,2,"CATERPILLAR, DOVE, GREYHOUND, PUMA"
HOMOPHONES OF MUSIC GENRES,3,"INDY, METTLE, SEOUL, WRAP"
DELIBERATION,0,"CONSIDERATION, REFLECTION, SCRUTINY, THOUGHT"
USED IN STARTING A FIRE,1,"FLINT, LIGHTER, MAGNIFYING GLASS, MATCHES"
USED TO VIEW A BIOLOGICAL SAMPLE,2,"MICROSCOPE, SLIDE, SPECIMEN, STAIN"
WORDS AFTER “X”,3,"FACTOR, FILES, GAMES, RAY"
GIVE A TITLE TO,0,"CALL, DUB, LABEL, NAME"
PARTS OF A FLIGHT,1,"CRUISE, TAKEOFF, TAXI, TOUCHDOWN"
FEEL AROUND (FOR),2,"FISH, FUMBLE, ROOT, RUMMAGE"
COUNTRIES MINUS FIRST LETTER,3,"INLAND, OLIVIA, RAN, WANDA"
UTOPIA,0,"PARADISE, SEVENTH HEAVEN, SHANGRI-LA, XANADU"
THINGS YOU SHAKE,1,"HAIRSPRAY, MAGIC 8 BALL, SALAD DRESSING, SNOWGLOBE"
PROPER NOUN PORTMANTEAUX,2,"JAZZERCISE, PARALYMPICS, POKÉMON, WIKIPEDIA"
ENDING IN SYNONYMS FOR “FRIEND”,3,"KETCHUM, PAYPAL, PRIMATE, ROSEBUD"
"THINGS THAT SOUND LIKE ""T""",0,"TEA, TEE (GOLF), TEE (SHIRT), TI (MUSICAL NOTE)"
OBJECTS WITH TEETH,1,"COMB, GEAR, SAW, ZIPPER"
MILD OATHS,2,"FUDGE, GEEZ, NUTS, RATS"
PARTS OF A RIVER,3,"BANK, BED, DELTA, MOUTH"
FANTASY CREATURES,0,"DRAGON, GIANT, PIXIE, TROLL"
EMAIL FOLDERS,1,"DRAFTS, SENT, SPAM, TRASH"
CITRUS SODAS,2,"CRUSH, SPRITE, SQUIRT, STARRY"
ANIMAL HOMOPHONES,3,"BORE, LINKS, PHISH, TOWED"
FISH,0,"FLUKE, MULLET, SOLE, TANG"
WORDS IN AN AUCTION-ENDING PHRASE,1,"GOING, ONCE, SOLD, TWICE"
GLOBAL CURRENCIES,2,"POUND, REAL, SOL, YUAN"
WORDS BEFORE “CUP”,3,"BUTTER, DIVA, SOLO, WORLD"
SPICES,0,"CLOVE, MACE, NUTMEG, PEPPER"
PERFORM POORLY,1,"FLAIL, FLOP, FLOUNDER, TANK"
"SKIM THROUGH, AS PAGES",2,"FLIP, LEAF, RIFFLE, THUMB"
POP SINGERS MINUS “S”,3,"KEY, MAR, SPEAR, STYLE"
TYPES OF RADIO,0,"AM, HAM, SATELLITE, WALKIE-TALKIE"
KINDS OF PLAY FIGHTS,1,"FOOD, PILLOW, SNOWBALL, WATER BALLOON"
SNACK CAKES,2,"DEVIL DOG, DING DONG, HOHO, YODEL"
CLASSIC JOKE STAPLES,3,"BAR, CHICKEN, KNOCK-KNOCK, LIGHT BULB"
INTREPIDITY,0,"GRIT, HEART, NERVE, PLUCK"
ROAD,1,"ARTERY, AVENUE, DRAG, DRIVE"
KINDS OF PAPER,2,"CONSTRUCTION, GRAPH, TISSUE, WAX"
KINDS OF TENNIS COURTS,3,"CARPET, CLAY, GRASS, HARD"
DEAL WITH,0,"FIELD, HANDLE, MANAGE, TACKLE"
STYLES OF BEER,1,"BITTER, BOCK, SOUR, STOUT"
INVESTMENT VERBS,2,"HEDGE, HOLD, SHORT, TRADE"
___ DOME,3,"CAPITOL, CHROME, ONION, TEAPOT"
DEFER,0,"DELAY, POSTPONE, SHELVE, TABLE"
BAR FIXTURES,1,"COUNTER, KEG, STOOL, TAP"
WATERCRAFT,2,"BARGE, JUNK, SUB, TUG"
SEEN IN “DONKEY KONG”,3,"BARREL, GORILLA, HAMMER, LADDER"
CONCOCTION,0,"COCKTAIL, COMPOUND, MIXTURE, SOLUTION"
TYPES OF SENTENCES,1,"COMMAND, EXCLAMATION, QUESTION, STATEMENT"
KINDS OF BROS,2,"CRYPTO, FINANCE, PHARMA, TECH"
COMPLAINT HOMOPHONES,3,"GROWN, MOWN, WHALE, WINE"
LOOP,0,"BAND, CIRCLE, HOOP, RING"
COOKING VESSELS,1,"CASSEROLE, CROCK, PAN, POT"
KINDS OF BEDS,2,"BUNK, CANOPY, MURPHY, SLEIGH"
THINGS CALLED “OSCAR”,3,"BALONEY, GROUCH, O, STATUETTE"
SLANG FOR HEAD,0,"COCONUT, CROWN, DOME, SKULL"
PALINDROMES,1,"ABBA, KAYAK, NUN, STATS"
POLICE PROCEDURALS,2,"BONES, ELEMENTARY, KOJAK, MONK"
FIRST IN A COMEDY DUO,3,"ABBOTT, FRY, KEY, LAUREL"
HOMOPHONES,0,"EWE, U, YEW, YOU"
NECKLINES,1,"BOAT, CREW, SCOOP, V"
"WAYS TO EXPRESS 1,000",2,"GRAND, K, M, THOU"
SUPER ___,3,"8, BOWL, GLUE, TUESDAY"
"“LIONS AND TIGERS AND BEARS, OH MY!”",0,"BEARS, LIONS, OH MY, TIGERS"
"BELOVED, AS A FRIEND",1,"CLOSE, DEAR, INTIMATE, TIGHT"
WORDS THAT SOUND LIKE PLURAL LETTERS,2,"BEES, EASE, JAYS, USE"
"WHEN TRIPLED, HIT SONG TITLES",3,"BILLS, BYE, GIMME, PLEASE"
CELESTIAL OBJECTS,0,"COMET, MOON, PLANET, STAR"
ARCHERS,1,"CUPID, HAWKEYE, ROBIN HOOD, SAGITTARIUS"
FEMALE ANIMALS,2,"JENNY, NANNY, QUEEN, VIXEN"
“S.N.L.” CAST MEMBERS,3,"FEY, RUDOLPH, SHANNON, STRONG"
APPROXIMATELY,0,"ABOUT, AROUND, LIKE, ROUGHLY"
TREES,1,"ELDER, PALM, PINE, SPRUCE"
"SIZABLE, AS AN AMOUNT",2,"HANDSOME, HEALTHY, RESPECTABLE, TIDY"
"U.S. STATE ABBREVIATIONS, PER AP STYLE GUIDE",3,"ALA, ARK, MISS, ORE"
BREAKFAST SIDES,0,"BACON, GRITS, HASH, TOAST"
"PUSHES, AS A BUTTON",1,"CLICKS, HITS, PRESSES, TAPS"
THEY HAVE A HORN,2,"AFRICA, BUGLER, CAR, UNICORN"
OSCAR-WINNING ACTORS,3,"BRIDGES, IRONS, PHOENIX, WASHINGTON"
“NOTHING TO IT!”,0,"EASY, NO SWEAT, PIECE OF CAKE, SURE THING"
OBJECTS FROM GREEK MYTH,1,"AEGIS, APPLE OF DISCORD, GOLDEN FLEECE, PANDORA’S BOX"
PROVERBIAL THINGS TO KICK,2,"CAN, HABIT, HORNETS’ NEST, TIRES"
STARTING WITH POSSESSIVE PRONOUNS,3,"HERSHEY, HISTAMINE, ITSY, MINEFIELD"
SHADES OF RED,0,"BRICK, CHERRY, MAROON, RUBY"
APPOINTMENT SPECIFICATIONS,1,"DATE, DURATION, LOCATION, TIME"
DIFFERENT AMOUNTS OF HAIR,2,"HEAD, LOCK, STRAND, WISP"
TREE HOMOPHONES,3,"BEACH, FUR, PAIR, YOU"
LUNCH ORDERS,0,"CLUB, HERO, MELT, WRAP"
USED TO MAKE COFFEE,1,"BEANS, FILTER, GRINDER, WATER"
"PAY, WITH “UP”",2,"ANTE, COUGH, PONY, SETTLE"
"NAMES FEATURING ""!""",3,"AIRPLANE, JEOPARDY, PINK, YAHOO"
MOVE QUICKLY,0,"BOLT, DART, DASH, FLY"
FUN TIME,1,"BALL, BLAST, KICK, THRILL"
WORDS BEFORE AN ADDRESSEE,2,"ATTENTION, DEAR, FOR, TO"
NAME ___,3,"BRAND, DROP, GAME, NAMES"
SLIMY ANIMALS,0,"EARTHWORM, EEL, SALAMANDER, SLUG"
THINGS THAT LUMINESCE,1,"AURORA, FIREFLY, GLOWSTICK, RADIUM"
DUTCH SYMBOLS,2,"CANAL, CLOG, TULIP, WINDMILL"
ENDING WITH SYNONYMS FOR “PLUNGE”,3,"GATECRASH, RAINDROP, SKYDIVE, WATERFALL"
PERCEIVE,0,"CATCH, CLOCK, NOTICE, REGISTER"
CADENCE,1,"BEAT, METER, RHYTHM, TIME"
ONE IN A GROUP OF TWELVE,2,"DONUT, INCH, JUROR, MONTH"
DOG ___,3,"DAYS, PADDLE, TAG, TIRED"
PARTS OF A FOOT,0,"ARCH, BALL, HEEL, SOLE"
ONE DOLLAR,1,"BUCK, CLAM, SINGLE, SMACKER"
KINDS OF MUSHROOMS,2,"BUTTON, MOREL, OYSTER, TRUMPET"
POT___,3,"BELLY, HOLE, LUCK, STICKER"
CRUSH INTO A COMPACT SHAPE,0,"BALL, CRUMPLE, SCRUNCH, WAD"
FASTENERS,1,"BUCKLE, CLIP, HOOK, SNAP"
MARK AS COMPLETED,2,"CHECK, CROSS, STRIKE, TICK"
DEPICTED IN DALÍ’S “THE PERSISTENCE OF MEMORY”,3,"ANT, BRANCH, CLOCK, MELTING"
HARDLY BUSTLING,0,"CALM, QUIET, SLEEPY, SLOW"
EARN,1,"GROSS, MAKE, NET, YIELD"
REMOTE CONTROL FUNCTIONS,2,"HOME, MUTE, STOP, VOLUME"
WORDS BEFORE “DRUM”,3,"EAR, KETTLE, OIL, SNARE"
BREATHE HARD,0,"GASP, HEAVE, PANT, PUFF"
CATCHALL,1,"BLANKET, BROAD, GENERAL, UMBRELLA"
METAPHORS FOR EASY THINGS,2,"ABC, BREEZE, PICNIC, PIE"
SYNONYMS FOR REAR END MINUS LAST LETTER,3,"ARS, BOOT, BUT, RUM"
VOCAL MUSIC,0,"A CAPPELLA, BARBERSHOP, DOO-WOP, MADRIGAL"
A HANDFUL OF,1,"A FEW, CERTAIN, SOME, VARIOUS"
BOOK SUBTITLES,2,"A LIFE, A NOVEL, ESSAYS, PART ONE"
___ IS ___ (IS ___),3,"A DEAL, A ROSE, ENOUGH, LOVE"
SECTION,0,"BRANCH, DIVISION, LIMB, WING"
ACCESSORIES FOR PLAYING AN INSTRUMENT,1,"BOW, DRUMSTICK, MALLET, PICK"
DISTINCTIVE FEATURES OF AN ELEPHANT,2,"EAR, MEMORY, TRUNK, TUSK"
WORDS MISSPELLED IN NU METAL BAND NAMES,3,"BISCUIT, CORN, LINCOLN, STAINED"
VENDOR’S SPOT AT A MARKET,0,"BOOTH, STALL, STAND, TABLE"
DOG COMMANDS,1,"COME, HEEL, SIT, STAY"
CORPORATE DEPARTMENTS,2,"FINANCE, IT, LEGAL, SALES"
LAST WORDS IN “AMERICA THE BEAUTIFUL”,3,"FROM, SEA, SHINING, TO"
BE CONTINGENT (ON),0,"DEPEND, HINGE, RELY, REST"
“CALM DOWN”,1,"CHILL, EASY, ENOUGH, RELAX"
INGREDIENTS IN AN OLD FASHIONED,2,"BITTERS, ORANGE, RYE, SUGAR"
FEATURED IN THE MONTY HALL PROBLEM,3,"CAR, DOOR, GOAT, HOST"
DISPLAY OF ROWS AND COLUMNS,0,"ARRAY, GRID, MATRIX, TABLE"
THINGS TO DO AT A WORK EVENT,1,"CIRCULATE, CONVERSE, MINGLE, NETWORK"
OLYMPIC EVENTS SINCE 2000,2,"BREAKING, SURFING, TAEKWONDO, TRAMPOLINE"
___ COURT,3,"FOOD, KANGAROO, SUPREME, TENNIS"
FABRICATION,0,"FAIRY TALE, FANTASY, FICTION, INVENTION"
WOO,1,"CHARM, COURT, PURSUE, ROMANCE"
CLASSIC ATARI GAMES,2,"ASTEROIDS, BREAKOUT, CENTIPEDE, DEFENDER"
THINGS FEATURING TAILS,3,"COIN TOSS, COMETS, DRESS COAT, SONIC THE HEDGEHOG"
TEACH,0,"COACH, GUIDE, SCHOOL, TRAIN"
CACHE,1,"BANK, POOL, RESERVE, STORE"
DRIVING INSTRUCTOR DIRECTIVES,2,"BRAKE, PARK, SIGNAL, TURN"
___WORM,3,"BOOK, EARTH, GLOW, INCH"
OPERATING,0,"ACTIVE, FUNCTIONAL, RUNNING, WORKING"
TERM,1,"MEETING, PERIOD, SESSION, SITTING"
THINGS IN A CAMERA KIT,2,"BODY, FLASH, LENS, STRAP"
BIRD PLUS LETTER,3,"CROWD, GULLY, PUFFING, SWANK"
MEANS,0,"MECHANISM, MEDIUM, TOOL, VEHICLE"
LACKING,1,"LIGHT, LOW, SHORT, SHY"
MARTINI SPECIFICATIONS,2,"DIRTY, DRY, PERFECT, WET"
FICTIONAL MISTERS,3,"BIG, PEANUT, ROBOT, TOAD"
BUYING AND SELLING,0,"BUSINESS, COMMERCE, MARKET, TRADE"
INSTALLED ON A WALL,1,"BASEBOARD, OUTLET, SCONCE, SWITCH"
SPY,2,"AGENT, ASSET, MOLE, PLANT"
___ RAT,3,"GYM, MALL, PACK, RUG"
FRANKFURTER,0,"BANGER, BRAT, LINK, SAUSAGE"
STRIKE,1,"BOP, HIT, KNOCK, TAP"
WEB BROWSERS,2,"CHROME, EDGE, OPERA, SAFARI"
ENDING WITH BEER BRANDS,3,"AUTOHARP, CONTRABASS, PEPPERONI, ROSEBUD"
DESIRE,0,"DRIVE, IMPULSE, ITCH, URGE"
BARB,1,"SPINE, SPUR, STICKER, THORN"
INFO ON A RECORD,2,"ALBUM, ARTIST, LABEL, TRACK"
TURN THE ___,3,"CORNER, PAGE, TABLES, TIDE"
FUND,0,"KITTY, POOL, POT, PURSE"
COURT FILING,1,"ACTION, CASE, CLAIM, SUIT"
LANDFORMS,2,"BASIN, BLUFF, CAPE, PLAIN"
THEY HAVE RAYS,3,"AQUARIUM, GEOMETRY, SUN, TAMPA BAY"
"TAKE ON, AS A RESPONSIBILITY",0,"ASSUME, BEAR, HANDLE, SHOULDER"
CORNERS,1,"ANGLE, BEND, CROOK, ELBOW"
ASSOCIATED WITH POPEYE,2,"ANCHOR, FOREARM, PIPE, SPINACH"
___ SHEET,3,"BALANCE, CHEAT, COOKIE, FITTED"
PUTDOWN,0,"BARB, CRACK, DIG, SLIGHT"
USED TO CLEAR SNOW,1,"PLOW, SALT, SAND, SHOVEL"
FIGURINE,2,"DOLL, FIGURE, MINIATURE, MODEL"
DOCTORS IN POP CULTURE,3,"NO, OCTOPUS, PEPPER, WHO"
TYPES OF ACADEMIC COURSES,0,"DISCUSSION, LAB, LECTURE, SEMINAR"
RESULTS OF SOME DIGGING,1,"DITCH, HOLE, PIT, TRENCH"
ONES WEARING ROBES,2,"BOXER, JUDGE, MONK, WIZARD"
___ UP,3,"BATTER, BOTTOMS, CHIN, LAWYER"
OUTDO,0,"BETTER, ECLIPSE, SURPASS, TOP"
PICNIC ACCESSORIES,1,"BASKET, BLANKET, COOLER, UTENSILS"
PARTS OF AN INDIANA JONES COSTUME,2,"BOMBER, FEDORA, SATCHEL, WHIP"
