groupName,level,members
NFL PLAYERS,3,"BEAR, BILL, BROWN, COMMANDER"
OFF-WHITE SHADES,0,"CREAM, EGGSHELL, IVORY, VANILLA"
ANTI-VAMPIRE,1,"CRUCIFIX, GARLIC, MIRROR, STAKE"
KINDS OF MEAT,2,"BEEF, PORK, POULTRY, VENISON"
SYNONYMS FOR ARGUMENT,3,"ROW, QUARREL, SPAT, TIFF"
GRAINS,0,"BARLEY, OAT, RYE, SPELT"
ROYAL TITLES,1,"BARON, EARL, KING, PRINCE"
UNIVERSITIES,2,"BROWN, DUKE, HOWARD, RICE"
BEST DIRECTOR OSCAR WINNERS,3,"BONG, FORD, LEE, STONE"
MUSIC GENRES,0,"JAZZ, POP, PUNK, RAP"
WEB BROWSERS,1,"CHROME, EDGE, OPERA, SAFARI"
"""LITTLE WOMEN"" SISTERS",2,"AMY, BETH, JO, MEG"
LIL ___ RAPPERS,3,"BABY, JON, KIM, WAYNE"
DOG BREEDS,0,"BOXER, DALMATIAN, HUSKY, POODLE"
ANIMAL NOSES,1,"BEAK, MUZZLE, SNOUT, TRUNK"
TRAFFIC SIGNS,2,"DETOUR, SLOW, STOP, YIELD"
SOUND ___,3,"ASLEEP, BARRIER, BITE, WAVE"
60's BAND MEMBERS,0,"BEACH BOY, BEATLE, BYRD, MONKEE"
DANCE FADS,1,"DOUGIE, MACARENA, MASHED POTATO, TWIST"
MAGAZINES,2,"FORTUNE, ROLLING STONE, VOGUE, WIRED"
THINGS WITH LINKS,3,"CHAIN, GOLF COURSE, SAUSAGE, WEBSITE"
CANDY BARS,0,"BOUNTY, CRUNCH, HEATH, MILKY WAY"
VIDEO GAME CONSOLES,1,"DREAMCAST, GENESIS, SWITCH, WII"
EAR PARTS,2,"ANVIL, COCHLEA, HAMMER, STIRRUP"
BAND NAMES MINUS NUMBERS,3,"BLINK, MAROON, SUM, U"
DESSERTS,0,"CHEESECAKE, FLAN, MOUSSE, TIRAMISU"
MILD OATHS,1,"DARN, FUDGE, HECK, SHOOT"
ANIMALS WITH TUSKS,2,"ELEPHANT, HIPPO, NARWHAL, WARTHOG"
MUSTACHES,3,"HANDLEBAR, HORSESHOE, PENCIL, WALRUS"
EUROPEAN COUNTRIES,0,"DENMARK, GREECE, POLAND, PORTUGAL"
SYNONYMS FOR IMITATE,1,"COPY, ECHO, MIMIC, PARROT"
TOMS,2,"CRUISE, HOLLAND, PETTY, WAITS"
WORDS SPELLED WITH ROMAN NUMERALS,3,"DILL, LIVID, MILD, MIX"
HATS,0,"BERET, BOWLER, FEDORA, FEZ"
ORGANS,1,"HEART, KIDNEY, LIVER, LUNG"
PARTS OF A BOOK,2,"COVER, JACKET, PAGE, SPINE"
JACK ___,3,"ASS, KNIFE, POT, RABBIT"
SEVEN DWARFS,0,"BASHFUL, DOC, GRUMPY, HAPPY"
FILE EXTENSIONS,1,"GIF, PDF, TIFF, ZIP"
FLIGHTLESS BIRDS,2,"EMU, KIWI, OSTRICH, PENGUIN"
TROPICAL FRUITS,3,"BANANA, COCONUT, MANGO, PINEAPPLE"
WINGED INSECTS,0,"FLY, GNAT, MOTH, WASP"
ARITHMETIC OPERATIONS,1,"ADD, DIVIDE, MULTIPLY, SUBTRACT"
FISH,2,"TANG, TETRA, SKATE, SOLE"
___ CAT,3,"ALLEY, COOL, COPY, LAP"
NFL PLAYERS,0,"BRONCO, COWBOY, PACKER, RAVEN"
PASTA SHAPES,1,"BOWTIE, ELBOW, SHELL, SPIRAL"
JOINTS,2,"HIP, KNEE, SHOULDER, WRIST"
"MOVIES WITH ""!""",3,"AIRPLANE, MOTHER, OKLAHOMA, THEM"
VEGETABLES THAT ARE ALSO FRUITS,0,"CUCUMBER, EGGPLANT, PEPPER, TOMATO"
3-D SHAPES,1,"CONE, CUBE, PYRAMID, SPHERE"
"WORDS WITH ""i""",2,"MAC, PAD, PHONE, POD"
WORDS WITH TWO PRONUNCIATIONS,3,"JOB, LIMA, MOBILE, POLISH"
SHOE PARTS,0,"HEEL, LACE, SOLE, TONGUE"
BOARD GAMES,1,"CLUE, RISK, SORRY, TROUBLE"
FICTIONAL SPIES,2,"BOND, HUNT, RYAN, SMART"
RUBBER ___,3,"BAND, CEMENT, DUCKIE, SOUL"
BOATS,0,"FERRY, JUNK, TUG, YACHT"
SANDWICHES,1,"CLUB, CUBAN, MELT, SUB"
CUTS OF BEEF,2,"FLANK, LOIN, ROUND, SHANK"
NICKNAMES THAT ARE VERBS,3,"CHUCK, JOSH, ROB, SUE"
PLEASANT SMELLS,0,"AROMA, BOUQUET, FRAGRANCE, SCENT"
MUSIC GENRES,1,"BLUES, COUNTRY, FUNK, SOUL"
ROCK PAPER SCISSORS,2,"PAPER, ROCK, SCISSORS, SHOOT"
MALE ANIMALS,3,"BOAR, BUCK, BULL, JACK"
U.S. COINS,0,"DIME, NICKEL, PENNY, QUARTER"
METAL ELEMENTS,1,"IRON, LEAD, TIN, ZINC"
LUCKY CHARMS MARSHMALLOWS,2,"CLOVER, HORSESHOE, MOON, RAINBOW"
___ AND ___,3,"AGAIN, HALF, NECK, SO"
MARSUPIALS,0,"KANGAROO, KOALA, WALLABY, WOMBAT"
CHOCOLATE BARS,1,"CHUNKY, CRUNCH, MARS, MOUNDS"
SLANG FOR MONEY,2,"CHEDDAR, DOUGH, PAPER, STACKS"
NAKED ___,3,"EYE, GUN, MOLE RAT, TRUTH"
MARINE MAMMALS,0,"DOLPHIN, MANATEE, OTTER, SEAL"
BIKE PARTS,1,"BRAKE, CHAIN, SADDLE, SPOKE"
SYNONYMS FOR SELL,2,"HAWK, MOVE, PEDDLE, VEND"
"COUNTRIES WHEN ""A"" IS ADDED",3,"CHIN, CUB, MALT, TONG"
TREES,0,"ASH, CEDAR, MAPLE, PINE"
LAND FORMATIONS,1,"HILL, MOUNTAIN, PLATEAU, VALLEY"
BAGEL FLAVORS,2,"EVERYTHING, ONION, PLAIN, POPPY"
STREETS ON SCREEN,3,"ELM, FEAR, JUMP, SESAME"
TIMEKEEPING DEVICES,0,"CLOCK, HOURGLASS, SUNDIAL, WATCH"
HAIRSTYLES,1,"BOB, CROP, PIXIE, SHAG"
UNITS OF MEASURE,2,"HERTZ, MOLE, NEWTON, SECOND"
DR. ___,3,"EVIL, J, NO, PEPPER"
WOODWINDS,0,"BASSOON, CLARINET, FLUTE, OBOE"
COVERINGS,1,"CAP, COVER, LID, TOP"
SUNGLASSES,2,"AVIATOR, CAT EYE, WAYFARER, WRAPAROUND"
SEALS,3,"HARBOR, HARP, HOODED, MONK"
BOTTLED WATER BRANDS,0,"DASANI, EVIAN, FIJI, VOSS"
SLANG FOR COFFEE,1,"BREW, JAVA, JOE, MUD"
ISLAND COUNTRIES,2,"CUBA, JAPAN, MALTA, PALAU"
CEREAL MASCOTS,3,"LUCKY, POP, SAM, TONY"
SCUBA GEAR,0,"FINS, MASK, SNORKEL, TANK"
PUNCTUATION MARKS,1,"COLON, COMMA, HYPHEN, PERIOD"
RUN QUICKLY,2,"BOLT, DASH, RACE, SPRINT"
___ CAT,3,"DOJA, FAT, HOUSE, JUNGLE"
SYNONYMS FOR ANGRY,0,"FURIOUS, INCENSED, IRATE, LIVID"
THINGS THAT ARE YELLOW,1,"BANANA, CANARY, SCHOOL BUS, SUNFLOWER"
MARINE BIRDS,2,"BOOBY, GULL, PELICAN, PUFFIN"
___ BOYS,3,"BEACH, BEASTIE, HARDY, LOST"
STATES OF MATTER,0,"GAS, LIQUID, PLASMA, SOLID"
EDIT MENU COMMANDS,1,"COPY, CUT, PASTE, UNDO"
DEFEAT BADLY,2,"CRUSH, ROUT, SHELLAC, TRASH"
ANAGRAMS,3,"LEAST, SLATE, STALE, TESLA"
MODES OF TRANSPORTATION,0,"BOAT, CAR, PLANE, TRAIN"
NBA PLAYERS,1,"KING, MAGIC, SUN, THUNDER"
FAST FOOD CHAINS,2,"CHECKERS, OUTBACK, SONIC, SUBWAY"
BAND NAMES MINUS COLORS,3,"DAY, FLOYD, SABBATH, STRIPES"
MOVIE TITLE CITIES,0,"CHICAGO, MUNICH, PHILADELPHIA, RIO"
FASHION MAGAZINES,1,"ALLURE, ELLE, GLAMOUR, W"
STORMS,2,"BLIZZARD, CYCLONE, SQUALL, TORNADO"
COCKTAILS,3,"COSMOPOLITAN, HURRICANE, MANHATTAN, SCREWDRIVER"
BIOMES,0,"DESERT, FOREST, GRASSLAND, TUNDRA"
LIZARDS,1,"CHAMELEON, GECKO, IGUANA, MONITOR"
YOGA POSES,2,"COBRA, LOTUS, TREE, WARRIOR"
DANCES WHEN DOUBLED,3,"CAN, CHA, GO, NAE"
FABRICS,0,"CORDUROY, DENIM, LINEN, TWEED"
APPARITIONS,1,"GHOST, PHANTOM, SPECTER, SPIRIT"
SYNONYMS FOR BOTHER,2,"NEEDLE, POKE, RIB, TEASE"
DISNEY CHARACTERS,3,"BEAST, GENIE, SCAR, STITCH"
RELATIVES,0,"AUNT, COUSIN, MOTHER, NEPHEW"
SYNONYMS FOR OFFBEAT,1,"DAFFY, KOOKY, QUIRKY, WACKY"
DISNEY DUCKS,2,"DAISY, DEWEY, DONALD, SCROOGE"
___ CLOCK,3,"ALARM, BIOLOGICAL, CUCKOO, GRANDFATHER"
UNITS OF LENGTH,0,"FOOT, INCH, MILE, YARD"
TYPES OF PAINT,1,"ACRYLIC, OIL, TEMPERA, WATERCOLOR"
DEEP-FRIED FOOD,2,"FALAFEL, KATSU, SAMOSA, SCHNITZEL"
STARTS OF U.S. COINS,3,"DIM, NICK, PEN, QUART"
LONG SANDWICHES,0,"HERO, HOAGIE, GRINDER, SUB"
DATING APPS,1,"BUMBLE, HINGE, MATCH, TINDER"
VAMPIRE MOVIES,2,"BLADE, LOST BOYS, NEAR DARK, TWILIGHT"
ADAMS,3,"ANT, DRIVER, SCOTT, WEST"
COMPUTER EQUIPMENT,0,"KEYBOARD, MONITOR, MOUSE, SPEAKER"
RODENTS,1,"GERBIL, HAMSTER, RAT, VOLE"
MUSICAL INSTRUMENTS,2,"HARP, HORN, ORGAN, TRIANGLE"
SYNONYMS FOR COMPLAIN,3,"CARP, GRIPE, GROUSE, MOAN"
ANIMAL GROUP NAMES,0,"COLONY, HERD, PRIDE, SWARM"
STONED,1,"BAKED, BLAZED, HIGH, LIT"
AP CLASSES,2,"BIO, CHEM, GOV, STATS"
TAXONOMY RANKS,3,"CLASS, DOMAIN, FAMILY, ORDER"
PLACES FOR WORSHIP,0,"ALTAR, RELIQUARY, SHRINE, TEMPLE"
CARTOON CATS,1,"FELIX, GARFIELD, SYLVESTER, TOM"
PRESIDENTIAL FIRST NAMES,2,"CALVIN, CHESTER, GROVER, HARRY"
___ ROAD,3,"ABBEY, HIGH, ROCKY, SILK"
CLASSIC TOYS,0,"BLOCKS, DOLL, TOP, YO-YO"
WORDS WITH THREE G'S,1,"BAGGAGE, EGGNOG, GIGGLE, LEGGINGS"
SHAKESPEARE CHARACTERS,2,"DUNCAN, JULIET, PUCK, VIOLA"
___ STICK,3,"FISH, HOCKEY, MEMORY, SELFIE"
CLASSIC ARCADE GAMES,0,"ASTEROIDS, BREAKOUT, FROGGER, PONG"
DANCES,1,"HUSTLE, SALSA, SWING, TANGO"
TOUCHSCREEN GESTURES,2,"PINCH, SPREAD, SWIPE, TAP"
RAPPERS MINUS NUMBERS,3,"CENT, CHAINZ, PAC, SAVAGE"
MOVIE GENRES,0,"HORROR, MUSICAL, ROMANCE, WESTERN"
PATTERNS,1,"HOUNDSTOOTH, PAISLEY, PLAID, STRIPES"
SYNONYMS FOR FALSEHOOD,2,"FIB, FICTION, LIE, TALE"
CANDY PIECES,3,"DOT, GOOBER, KISS, WHOPPER"
ARACHNIDS,0,"MITE, SCORPION, SPIDER, TICK"
FISH,1,"CHAR, EEL, PERCH, SHARK"
SUPERHEROES,2,"BLACK WIDOW, BLADE, FLASH, STORM"
MTV SHOWS,3,"CATFISH, CRIBS, JACKASS, STATE"
UNSPECIFIED QUANTITIES,0,"FEW, HANDFUL, SEVERAL, SOME"
NEWSPAPERS,2,"GLOBE, JOURNAL, POST, SUN"
CELESTIAL OBJECTS,1,"ASTEROID, COMET, MOON, PLANET"
FRUIT HOMOPHONES,3,"LYME, MELLON, PAIR, PLUMB"
HORROR FRANCHISES,0,"PURGE, RING, SAW, SCREAM"
SPORTS VENUES,1,"COURT, DIAMOND, FIELD, RINK"
MAKE HAPPY,2,"CHARM, DELIGHT, PLEASE, TICKLE"
JEWELRY,3,"ANKLET, BANGLE, BROOCH, PENDANT"
THEORETICAL PHYSICISTS,0,"EINSTEIN, FEYNMAN, HAWKING, OPPENHEIMER"
TALENT,1,"FACULTY, FLAIR, GENIUS, GIFT"
AUSTRALIAN TERMS,2,"BARBIE, BUSH, CRIKEY, MATE"
___ POINT,3,"MATCH, MOOT, SELLING, WEST"
STATE ABBREVIATIONS,0,"CO, MA, ME, PA"
MUSICAL NOTES,1,"DO, FA, LA, TI"
GREEK LETTERS,2,"MU, NU, PI, XI"
PERIODIC TABLE SYMBOLS,3,"FE, HE, NA, NI"
FASTENING VERBS,0,"BUCKLE, BUTTON, SNAP, ZIP"
SLANG FOR ZERO,1,"JACK, NADA, NOTHING, SQUAT"
GYM EXERCISES,2,"CURL, LUNGE, PLANK, PRESS"
"""CAPTAINS""",3,"CRUNCH, KANGAROO, OBVIOUS, PLANET"
CLASSIC DOG NAMES,0,"FIDO, LUCKY, ROVER, SPOT"
PERCEIVE,1,"CATCH, NOTICE, OBSERVE, SEE"
FISHING TERMS,2,"BAIT, CHUM, FLY, SINKER"
T-___,3,"BONE, REX, SHIRT, STORM"
STATES OF MATTER,0,"GAS, LIQUID, PLASMA, SOLID"
ENERGY,1,"JUICE, SPIRIT, STEAM, VIGOR"
CLASSICAL ELEMENTS,2,"AIR, EARTH, FIRE, WATER"
THINGS WITH RINGS,3,"CIRCUS, SATURN, TREE, WEDDING"
TIME PERIODS,0,"CENTURY, DECADE, MILLENNIUM, YEAR"
BREAKFAST FOODS,1,"CEREAL, OMELET, PANCAKE, WAFFLE"
PAINTERS,2,"BACON, CLOSE, MUNCH, WHISTLER"
ONE IN A DOZEN,3,"EGG, JUROR, MONTH, ROSE"
DESSERTS,0,"CAKE, COBBLER, PIE, TART"
OCCUPATIONAL SURNAMES,1,"FISHER, MASON, MILLER, SMITH"
ALTER DECEPTIVELY,2,"DISTORT, DOCTOR, FUDGE, TWIST"
SQUARE ___,3,"DANCE, MEAL, ONE, ROOT"
UNITS OF VOLUME,0,"CUP, GALLON, PINT, QUART"
EXTREMELY,1,"AWFUL, QUITE, SUPER, VERY"
WORLD CURRENCIES,2,"RAND, REAL, STERLING, WON"
___ CAKE,3,"CARROT, COFFEE, POUND, SPONGE"
FRIEND,0,"BUD, CHUM, MATE, PAL"
COOKWEAR,1,"CROCK, POT, SKILLET, WOK"
SHOES,2,"CLOG, PUMP, SLIDE, WEDGE"
SLANG FOR CANNABIS,3,"GRASS, HERB, MARY JANE, WEED"
CAMPING SUPPLIES,0,"COOLER, LANTERN, SLEEPING BAG, TENT"
INSULT,1,"BARB, DIG, DISS, JAB"
TINY,2,"MINUTE, SLIGHT, SMALL, WEE"
HAPPY ___,3,"CAMPER, HOUR, MEAL, MEDIUM"
U.S. MOUNTAIN STATES,0,"ARIZONA, COLORADO, NEVADA, UTAH"
SODA BRANDS,1,"CRUSH, MUG, SPRITE, SQUIRT"
CLASSIC ROCK BANDS,2,"GENESIS, KANSAS, RUSH, YES"
TONY ___,3,"HAWK, MONTANA, SOPRANO, STARK"
PERFORMING ARTISTS,0,"ACTOR, DANCER, SINGER, STAND-UP"
SANTA'S REINDEER,1,"COMET, CUPID, DASHER, VIXEN"
SEEN ON VALENTINE'S DAY,2,"CARD, CHOCOLATE, HEART, ROSE"
"""BAD ___"" MOVIES""",3,"BOYS, LIEUTENANT, SANTA, TASTE"
FACIAL HAIR,0,"BEARD, GOATEE, MUSTACHE, STUBBLE"
BIKE PARTS,1,"GEAR, HANDLEBAR, PEDAL, WHEEL"
PURSUE,2,"DOG, FOLLOW, TAIL, TRACK"
THINGS THAT ARE CAST,3,"DOUBT, MOVIE, SHADOW, VOTE"
EXTINCT ANIMALS,0,"DODO, MAMMOTH, MASTODON, TRILOBITE"
FAILURES,1,"BUSTS, FLOPS, MISSES, TURKEYS"
SLANG FOR CLOTHES,2,"DUDS, GETUP, OUTFIT, THREADS"
KISS,3,"PECK, SMACK, SMOOCH, X"
SOCIAL GATHERING,0,"BASH, BLOWOUT, PARTY, SHINDIG"
"""PINOCCHIO"" FIGURES",1,"CRICKET, PUPPET, WHALE, WOODCARVER"
FOUND IN A KITCHEN,2,"COUNTER, MIXER, RANGE, SINK"
EASTER ___,3,"BUNNY, EGG, ISLAND, SUNDAY"
BOARD GAMES,0,"RISK, SORRY, TABOO, TROUBLE"
NEWSPAPER SECTIONS,1,"BUSINESS, NATIONAL, OPINION, STYLE"
FIGURES IN GREEK MYTH,2,"ATLAS, HERMES, NIKE, PARIS"
ADJECTIVES IN RAPPERS' NAMES,3,"FOXY, GUCCI, KILLER, NOTORIOUS"
POULTRY CUTS,0,"BREAST, DRUMSTICK, TENDER, WING"
GOLF TERMS,1,"DRIVER, EAGLE, HOLE, STROKE"
DRUM SET COMPONENTS,2,"CYMBAL, KICK, SNARE, TOM"
"ASSOCIATED WITH ""CRAWL""",3,"INFANT, PUB, SWIMMING, TICKER"
STATES OF ELATION,0,"BLISS, CLOUD NINE, HEAVEN, PARADISE"
SCAM,1,"CON, FAST ONE, HUSTLE, RACKET"
GREETING GESTURES,2,"HIGH FIVE, HUG, SHAKE, WAVE"
___ LIST,3,"BUCKET, GUEST, TOP TEN, WISH"
DEPART QUICKLY,0,"BOOK, BOUNCE, RUN, SPLIT"
ANIMALS THAT END WITH X,1,"FOX, IBEX, LYNX, ORYX"
SHADES OF BLACK,2,"EBONY, JET, ONYX, RAVEN"
WORDS BEFORE DAYS OF THE WEEK,3,"ASH, BLACK, CYBER, FAT"
PLAYGROUND FIXTURES,0,"SANDBOX, SEESAW, SLIDE, SWING"
INFLUENCE,1,"CLOUT, PULL, SWAY, WEIGHT"
EGYPTIAN SYMBOLS,2,"ANKH, CROOK, EYE, SCARAB"
FONTS,3,"COURIER, IMPACT, PAPYRUS, TIMES"
METAPHORICAL UNIT OF MONEY,0,"BIG ONE, BONE, BUCK, SMACKER"
MOTIVATE TO ACTION,1,"DRIVE, PROMPT, SPARK, SPUR"
"""WHO CARES?""",2,"AND, BIG DEAL, SO, WHATEVER"
THINGS WITH SHELLS,3,"CLAM, EGG, PEANUT, TURTLE"
DRINK VESSELS,0,"GOBLET, SNIFTER, TUMBLER, STEIN"
WOODWINDS,1,"CLARINET, FLUTE, OBOE, SAXOPHONE"
AMERICAN POETS,2,"BISHOP, FROST, OLDS, POUND"
CONSECUTIVE DOUBLE LETTERS,3,"BALLOON, BASSOON, COFFEE, FRICASSEE"
BOVIDS,0,"BUFFALO, COW, GOAT, SHEEP"
EMIT LIGHT,1,"BEAM, GLOW, RADIATE, SHINE"
GYMNASTICS APPARATUS,2,"FLOOR, HORSE, RINGS, VAULT"
WORDS THAT SOUND LIKE TWO LETTERS,3,"CUTIE, ENVY, EXCEL, SEEDY"
FEMALE ANIMALS,0,"COW, DOE, HEN, MARE"
PRONOUNS,1,"I, IT, THEY, WE"
ROMAN NUMERALS,2,"D, L, M, V"
HOMOPHONES,3,"EWE, U, YEW, YOU"
PAINTING ACCESSORIES,0,"BRUSH, CANVAS, EASEL, PALETTE"
AUTOMATIC TRANSMISSION SETTINGS,1,"DRIVE, NEUTRAL, PARK, REVERSE"
THINGS WITH TEETH,2,"COMB, GEAR, SAW, ZIPPER"
___ CHAIR,3,"FIRST, FOLDING, HIGH, LAWN"
INFORMATION DISPLAYS,0,"CHART, DIAGRAM, GRAPH, MAP"
ADDITIONAL BENEFIT,1,"BONUS, EXTRA, ICING, PERK"
THANKSGIVING FOOD,2,"GRAVY, PIE, STUFFING, TURKEY"
SONG TITLES WITH PARENTHESES,3,"I RAN, ISTANBUL, MONTERO, SATISFACTION"
CREATURES IN FOLKLORE,0,"GNOME, GOBLIN, OGRE, TROLL"
FLOWER PARTS,1,"BUD, LEAF, PETAL, STALK"
ONE INVOLVED IN ESPIONAGE,2,"AGENT, MOLE, PLANT, SPY"
CHINESE ZODIAC ANIMALS,3,"DRAGON, HORSE, RABBIT, TIGER"
ROCKY HORROR PICTURE SHOW,0,"HORROR, PICTURE, ROCKY, SHOW"
WHO FRAMED ROGER RABBIT,1,"FRAMED, RABBIT, ROGER, WHO"
WHEN HARRY MET SALLY,2,"HARRY, MET, SALLY, WHEN"
MAD MAX FURY ROAD,3,"FURY, MAD, MAX, ROAD"
INHERENT NATURE,0,"ESSENCE, HEART, SPIRIT, SOUL"
FERMENETED ALCOHOLIC BEVERAGES,1,"CIDER, PORT, SAKE, STOUT"
PIXAR MOVIES,2,"BRAVE, CARS, COCO, UP"
___ TAPE,3,"DEMO, RED, SCOTCH, TICKER"
BASEBALL CALLS,0,"BALL, OUT, SAFE, STRIKE"
HEAT SOURCES,1,"FORGE, FURNACE, KILN, OVEN"
FISH THAT ARE VERBS,2,"CARP, CATFISH, FLOUNDER, SMELT"
SILENT “L”,3,"COLONEL, SALMON, WALK, YOLK"
AMAZON ANIMALS,0,"ANACONDA, CAPYBARA, JAGUAR, TOUCAN"
LOWEST POINT,1,"BASE, BOTTOM, FOOT, FOUNDATION"
MUSICALS,2,"COMPANY, GREASE, HAIR, RENT"
SEA ___,3,"CHANGE, CUCUMBER, LEGS, LION"
HALLOWEEN DECORATIONS,0,"BAT, COBWEB, PUMPKIN, TOMBSTONE"
TV SHOWS,1,"24, BONES, FIREFLY, WEEDS"
SLOT MACHINE SYMBOLS,2,"7, BAR, BELL, CHERRY"
NUMBERS IN BOOK TITLES,3,"22, 451, 2001, 20,000"
HOT DRINKS,0,"CHAI, COCOA, COFFEE, TEA"
ANIMAL SOUNDS,1,"BUZZ, CLUCK, MEOW, OINK"
TREE FEATURES,2,"BARK, BRANCH, ROOT, TRUNK"
INSIDE INFO,3,"DIRT, DISH, SCOOP, SKINNY"
“SKEDADDLE!”,0,"GET OUT, GO, LEAVE, SCRAM"
PRONOUNS,1,"ME, THEM, US, YOU"
ANAGRAMS,2,"NOPE, OPEN, PEON, PONE"
___ BABY,3,"BEANIE, FUR, NEPO, SANTA"
EYE PARTS,0,"IRIS, LENS, PUPIL, RETINA"
COUNTERFEIT,1,"BOGUS, FAKE, PHONY, SHAM"
RADIO LINGO,2,"COPY, OUT, OVER, ROGER"
